"cutoff","level","temporal","seasonal","spatial","period","draws","probability_q025","probability_median","probability_q975","fraction_below_001","fraction_above_099","mean_adjacent_month_logit_change"
2015,"site","rw1",FALSE,"none","training",5000,0.00393042899069413,0.103128784133914,0.727806792556242,0.0731583333333333,1.25e-05,0.27002820692789
2015,"site","rw1",FALSE,"none","forecast",5000,0.0034587728202075,0.102245695744304,0.758656714983906,0.0803388888888889,1.11111111111111e-05,0.270123809596093
2015,"site","rw1",TRUE,"none","training",5000,0.00445345268969258,0.0988597188118936,0.730352694458799,0.0736291666666667,5e-05,0.349708439297559
2015,"site","rw1",TRUE,"none","forecast",5000,0.00380414358373566,0.0986146985574094,0.77451397997366,0.0821944444444444,0.000411111111111111,0.350471260913171
2015,"county","rw1",FALSE,"iid","training",5000,0.0043120384580092,0.101036529500106,0.756156011302023,0.07375,0.000120833333333333,0.268879533124482
2015,"county","rw1",FALSE,"iid","forecast",5000,0.00341104440565781,0.101664971533627,0.796981913056031,0.0824166666666667,0.000277777777777778,0.267910980166259
2015,"county","rw1",TRUE,"iid","training",5000,0.00398593548521496,0.101474426187987,0.75033812459857,0.0765583333333333,6.66666666666667e-05,0.359121729122321
2015,"county","rw1",TRUE,"iid","forecast",5000,0.00335063515359645,0.101752711119481,0.793620220081395,0.0847388888888889,0.000116666666666667,0.359125307986006
2015,"county","rw1",FALSE,"bym2","training",5000,0.00415178636857651,0.0952423104706936,0.745292169093651,0.0761708333333333,0.000141666666666667,0.268023570871581
2015,"county","rw1",FALSE,"bym2","forecast",5000,0.00352522880809545,0.0966975013122176,0.774592222194764,0.08685,0.000216666666666667,0.26642812583903
2015,"county","rw1",TRUE,"bym2","training",5000,0.00363834526388038,0.0999190961667482,0.742818637955468,0.0804208333333333,5e-05,0.356980337166004
2015,"county","rw1",TRUE,"bym2","forecast",5000,0.00289770850100625,0.0997897561892924,0.779843746618867,0.0887388888888889,0.000327777777777778,0.358286100178663
2015,"site","ar1",FALSE,"none","training",5000,0.00489791939444733,0.101132692813261,0.724873773213278,0.0663625,0.000125,0.290439106954653
2015,"site","ar1",FALSE,"none","forecast",5000,0.00492108482890683,0.100631289083181,0.723321790688619,0.0663277777777778,4.44444444444444e-05,0.290415372219898
2015,"site","ar1",TRUE,"none","training",5000,0.00440476382547127,0.0977266117021483,0.725018513936505,0.0722916666666667,0,0.371671878077495
2015,"site","ar1",TRUE,"none","forecast",5000,0.0043178781240747,0.0978093443381687,0.724572804052158,0.0728388888888889,0,0.370417648009953
2015,"county","ar1",FALSE,"iid","training",5000,0.00443671472728589,0.102329860034578,0.714209779910502,0.073125,1.25e-05,0.290517306226874
2015,"county","ar1",FALSE,"iid","forecast",5000,0.0043756255525548,0.101673824592098,0.71287070626621,0.07305,6.66666666666667e-05,0.288844914954716
2015,"county","ar1",TRUE,"iid","training",5000,0.00390846572569377,0.101916189742346,0.757104158426828,0.0788208333333333,5e-05,0.372806425009776
2015,"county","ar1",TRUE,"iid","forecast",5000,0.00396172397679373,0.102543454987531,0.754340521400655,0.0789277777777778,1.11111111111111e-05,0.370935722704842
2015,"county","ar1",FALSE,"bym2","training",5000,0.004145361833289,0.100611922748207,0.744155719695646,0.0721333333333333,0.000308333333333333,0.293581938615245
2015,"county","ar1",FALSE,"bym2","forecast",5000,0.00425590701857543,0.100555556332296,0.741086561317005,0.0721888888888889,0.000244444444444444,0.292918349842757
2015,"county","ar1",TRUE,"bym2","training",5000,0.00378536412120425,0.0974164036376937,0.731002244196649,0.0788458333333333,5e-05,0.378048681076085
2015,"county","ar1",TRUE,"bym2","forecast",5000,0.00375179981177416,0.0975750086074421,0.729815168282716,0.0788611111111111,2.77777777777778e-05,0.37839342132217
